German,English
Ich,I
ist,is
ich,I
nicht,not
Sie,She
du,of
das,the
die,the
es,is
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,we
Du,Of
mir,to me
mit,with
Was,Was
den,the
mich,me
was,was
auf,on
dass,that
er,is
eine,one
Es,Is
hat,has
Wir,We
Und,And
so,so
sind,are
von,from
dich,you
war,war
haben,have
für,for
Ja,And
hier,here
an,an
habe,have
Er,Is
bin,bin
wie,How
noch,still
dir,You
uns,us
sich,itself
Die,The
nur,only
einen,a
Nein,No
dem,to the
ihn,him
auch,also
hast,hast
sein,be
ihr,her
da,and
aus,out of
kann,can
aber,but
Aber,But
schon,already
wenn,if
wird,becomes
um,one
Wie,How
als,as
bist,are you
im,in the
mal,just
doch,but
gut,gut
meine,think
jetzt,now
weiß,white
Wenn,If
werden,become
Der,The
nach,after
ja,and
Oh,Oh
oder,or
dann,then
will,will
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,must
immer,always
nichts,nothing
man,man
wieder,again
bei,at
hab,order
machen,make
vor,before
Mann,Mann
ihm,him
einem,a
tun,yet
zum,for the
können,can
sagen,say
werde,become
denn,then
Ist,Is
Ein,A
Warum,Why
einer,one
gehen,go
sehen,see
sehr,very
geht,goes
alle,to
über,above
müssen,must
diese,this
einfach,simply
euch,you
des,of the
nie,NO
Also,Also
Wo,Where
los,the
Zeit,Time
Ihnen,Them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thanks
deine,your
würde,would
soll,should
Da,And
hatte,had
Hier,Here
wissen,knowledge
bitte,please
viel,much
Dann,Then
So,So
gesagt,said
Ihr,Her
am,am
kein,no
Komm,Come on
Wer,Who
zurück,return
wurde,became
In,In
wollte,wanted
Frau,Woman
Leben,Life
wäre,were
wo,where
damit,with it
Nicht,Not
Gott,Good
Leute,People
kannst,can
heute,today
meinen,think
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,Na
wollen,want
sicher,secure
ganz,quite
Jetzt,Now
Mein,My
Mr,Mr
also,also
zur,to the
Hast,Hast
Gut,Gut
hätte,had
weil,because
tut,Tut
Hallo,Hello
Okay,Okay
macht,might
waren,were
bis,until
Vielleicht,Perhaps
könnte,could
Eine,One
Bitte,Please
weg,away
seine,his
lassen,permit
Vater,Father
gesehen,seen
Nun,Nun
gerade,straight
Alles,Everything
glaube,believe
Tag,Tag
ab,ab
Geld,Money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,no
durch,through
zwei,two
diesen,this
passiert,happens
wohl,probably
vielleicht,perhaps
ihre,her
Mutter,Mother
reden,rode
anderen,others
dachte,thought
daß,that
möchte,would like
wirst,become
gehört,heard
weißt,white
Keine,No
raus,out
Meine,Think
paar,pair
besser,better
ob,at
her,her
musst,must
Ordnung,Order
meiner,mine
klar,clear
ihnen,them
Los,The
diesem,this
meinem,my
lange,longing
Lass,Lass
dieses,this
helfen,help
unsere,our
Weg,Away
selbst,self
Nur,Only
finden,find
Mal,Just
jemand,someone
denke,think
Ach,But
Nacht,Night
genau,Exactly
gar,even
sagt,says
Welt,World
Auf,On
Mädchen,Girl
ins,ins
hin,don't
vom,from the
schön,nice
warum,Why
weiter,further
Leid,Sorrow
gleich,even
wer,who
Man,Man
ohne,without
Menschen,People
deinen,yours
leid,sorrow
Wieso,How come
dort,there
Als,As
Hause,Home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,Ok
Hör,Hear
machst,make
Freund,Friend
richtig,correct
Angst,Angst
Bist,Are you
Tut,Tut
Mit,With
viele,many
sieht,sees
Haus,Drink
tot,until
sollen,should
ganze,entire
andere,Others
getan,did
okay,okay
rein,rein
Diese,This
Moment,Moment
bleiben,remain
brauchen,need
Weil,Because
Kinder,Children
unter,under
Arbeit,Work
Für,For
Problem,Problem
dafür,for this
Herr,Mister
Haben,Have
wegen,because of
geht's,Is it possible
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Her
ne,it is
gegen,against
Weißt,White
Sag,Sag
schnell,fast
nun,nun
eines,one
brauche,need
Abend,Evening
hatten,had
Jahre,Years
Mach,Mach
Bruder,Brother
Sache,Matter
hören,hear
komm,come on
Sohn,Son
seit,since
Morgen,Morning
drei,three
steht,stands
Scheiße,Fuck
mag,mag
sei,may be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,is called
OK,OK
Willst,Want
Kopf,Head
Hilfe,Help
Familie,Family
Geh,Walk
Baby,Baby
Dich,You
Sind,Are
erst,first
fertig,complete
gefunden,found
seid,are
kam,came
nehmen,take
morgen,morning
sprechen,speak
Mir,To me
sofort,immediately
Kann,Can
Hat,Has
Jahren,Years
Kind,Kind
seinen,his
Genau,Exactly
daran,to it
Junge,Young
Minuten,Minute
bevor,before
Stadt,City
beim,at the
sterben,die
warst,beings
Recht,Right
glauben,believe
Warte,Worth
darüber,about it
deiner,yours
deinem,yours
Ende,End
He,He
Dinge,Things
Namen,Names
wahr,true
Alle,To
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,Really
bekommen,receive
Männer,Men
vergessen,forget
Doch,But
dazu,in addition
gab,gave
später,later
wusste,knew
Augen,Eyes
Dank,Thanks to
Freunde,Friends
Jungs,guys
halten,hold
warten,wait
Glück,Luck
beide,both
gute,good
Dein,Your
kennen,know
Deine,Your
n,n
Hi,Hi
Dr,Dr
Auto,Auto
sage,sage
gehe,go
komme,come
Dir,You
mache,step
Von,From
Uhr,Clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Art
gern,gladly
Liebe,Love
jeden,one
könnten,might
ihren,your
Halt,Halt
Fall,Fall
Dad,Dad
Film,Film
bisschen,a little
eigentlich,actually
weit,far
mach,mach
Gib,Gib
vorbei,over
verstehe,understand
danke,Thanks
drin,in it
Im,In the
Name,Name
ganzen,entire
Musik,Music
würden,would
Tür,Type
verrückt,crazy
solltest,should
denken,think
Noch,Still
dran,your turn
Sieh,See
lieber,Dear
Den,The
leben,life
Guten,Good
Um,One
darauf,on it
Kein,No
stimmt,is correct
Kerl,Guy
letzte,last
Job,Job
verloren,lost
wurden,became
kenne,know
Ahnung,Idea
seiner,his
Grund,Reason
toll,toll
Bis,Until
Verdammt,Damned
bald,bald
bereit,ready
all,all
jemanden,someone
hinter,behind
Schon,Already
Sehr,Very
Hand,Hand
darf,may
Dieser,This
Frauen,Women
Euch,You
Idee,Idea
runter,down
Macht,Power
draußen,outside
lang,lang
Land,Land
lass,lass
Typ,Type
hätten,have
egal,doesn't matter
arbeiten,work
spät,late
stehen,stand
ok,ok
Gute,Good
gekommen,came
Bei,At
etwa,approximately
essen,eat
kleine,little
jeder,everyone
Schwester,Sister
Wasser,Water
spielen,play
Geschichte,Story
seinem,his
liegt,lies
sah,legal
Mom,Mom
Seite,Page
wenig,few
ruhig,quiet
Frage,Ask
meinst,mean
überhaupt,at all
fahren,drive
Ganz,Quite
Gehen,Go
Essen,Eat
Ruhe,Quiet
echt,Real
versucht,tried
Tochter,Daughter
Kommt,Comes
Einen,A
ging,went
Jahr,Year
braucht,needs
fast,fast
neue,new
geh,walk
ziemlich,quite
anders,otherwise
siehst,see
Polizei,police
Stunden,Hours
musste,had to
Spiel,Game
gewesen,been
gerne,Gladly
finde,find
erzählt,told
Tod,Tod
Ort,Location
Chance,Chance
bedeutet,means
War,War
sag,sag
sagst,say
fragen,questions
letzten,last
sogar,even
ersten,first
Sachen,Things
Wahrheit,Truth
einzige,only
kurz,short
denen,whom
Kommen,Come
Spaß,Fun
Nach,After
oben,above
Mama,Mama
schwer,difficult
Schule,School
je,is
eben,even
Gesicht,Face
bestimmt,certainly
treffen,meet
niemand,nobody
Woche,Week
Entschuldigung,Excuse me
Sorgen,Care for
warte,worth
natürlich,naturally
schlecht,bad
große,size
getötet,killed
verstehen,understand
hoffe,hope
Ah,Like
Sei,May be
Zimmer,Zimmer
hoch,high
unserer,ours
Tage,take
Teil,Part
Wann,If
suchen,seek
verlassen,leave
zeigen,show
wollten,wanted to
lässt,leaves
Wort,Word
eins,likewise
zwischen,between
Woher,From where
Schatz,Schatz
Wissen,To know
versuchen,attempt
Können,Can
Kannst,Can
nett,net
Zu,To
kriegen,get
Geht,Goes
Arsch,ass
kleinen,small
Hab,Order
weiss,weiss
erste,first
läuft,runs
kommst,come
Freundin,Girlfriend
Mensch,Person
beiden,both
Ding,Ding
niemals,never
endlich,finally
Nimm,take
muß,must
gehst,walking
Heute,Today
denkst,thinking
Herz,Heart
Waffe,weapon
Soll,Should
tust,tust
Dollar,Dollar
nehme,take
Schau,Look
holen,fetch
oft,frequently
drauf,on it
anderes,other
Niemand,Nobody
unten,below
Wagen,Car
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,Mrs
hättest,would have
allen,allen
Miss,Miss
ihrer,of their
gedacht,thought
Nummer,Number
würdest,would
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,right
bringt,brings
Bett,Bed
Lassen,Permit
Eltern,Parents
gefällt,pleases
Schuld,Debt
eure,your
Plan,Plan
Krieg,War
neuen,new
Klar,Clear
retten,The Court
guter,goods
während,while
ihrem,hers
wären,be
Fehler,Mistake
scheint,appears
Lasst,Leaves
gegeben,given
An,An
hör,hear
glücklich,happy
verdammt,damned
alt,everything
Platz,Place
darum,therefore
Vielen,Many
falsch,incorrect
unseren,ours
schlafen,sleep
Sagen,Say
nächsten,next
fünf,five
frei,free
Sorge,It stands
Vor,Before
fest,fest
bereits,already
alleine,alone
Denn,Then
Zwei,Two
Fragen,Questions
möglich,possible
irgendwie,somehow
Papa,Boat
lernen,learn
gestern,yesterday
hierher,here
Schiff,Schiff
vier,four
irgendwas,anything
Stimmt,Is correct
Menge,Crowd
keiner,none
brauchst,needs
Typen,The type
Dass,That
Stunde,Hour
Szene,scene
Hölle,hell
einige,some
Deshalb,For this reason
geworden,have become
Telefon,Telephone
Darf,May
Feuer,Fire
Wollen,Want
Bin,Bin
Alter,Alter
Captain,Captain
Aus,Out of
Dieses,This
Probleme,Problems
Jeder,Everyone
verstanden,understood
wann,if
alten,old
gibt's,Is there
sondern,rather
guten,good
zwar,that is
eigenen,own
New,New
Körper,Body
hört,Heard
Zum,For the
gebe,gift
Kumpel,Dude
Hund,Dog
nochmal,once again
hab's,Hab's
früh,early
Hören,Hear
trinken,drink
besten,best
meines,mine
schaffen,create
alte,other
Luft,Air
Jemand,Someone
dürfen,may
Meister,master
Erde,Earth
Seit,Since
Sicher,secure
Hört,Heard
Zukunft,Future
kaum,races
funktioniert,functions
voll,full
Bleib,Stay
reicht,suffices
weh,sore
stellen,place
Siehst,See
kleiner,smaller
großen,huge
Waffen,weapons
Büro,Office
Wahl,Choice
verlieren,lose
Wochen,Weeks
Damit,With it
Stück,Piece
lieben,love
allem,all
getroffen,met
äh,ah
Am,Am
geschafft,done
tue,tue
gefallen,please
Tja,There
Boss,Boss
überall,overall
Sieht,Sees
passieren,happen
lustig,fun
Licht,light
gebracht,brought
nennen,to name
Folge,Consequence
Gefühl,Feeling
völlig,fully
denkt,thinks
Schlüssel,Key
drüben,over there
Richtig,Correct
wieso,how come
Leuten,People
Buch,A book
laufen,run
spielt,plays
früher,earlier
Sein,Be
krank,sick
gegangen,went
fand,found
Seine,His
Pass,Pass
fühle,feel
Himmel,Heaven
froh,joyful
leicht,light
direkt,Immediately
langsam,slow
wolltest,wanted
erinnern,remember
zuerst,first
Krankenhaus,hospital
Viel,Much
beste,as
welche,which
genommen,taken
Arzt,Physician
unserem,ours
Idiot,Idiot
Machen,Make
glaubst,believe
jede,every
Ohne,Without
groß,large
hattest,hate
Äh,Ah
Jungen,Boys
Rest,Rest
Unsere,Our
versuche,try
Tagen,Days
nächste,next
Entschuldigen,Excuse
Doktor,Doctor
spricht,speaks
könnt,can
hält,holds
Team,Team
Verstanden,Understood
kämpfen,battle
heiraten,marry
könntest,might
Wow,Wow
Etwas,Something
Straße,Street
Mist,Mist
König,king
redest,speech
kleines,small
lebt,lives
erklären,explain
worden,become
Millionen,millions
Wiedersehen,Reunite
Onkel,Uncle
kennst,know
sitzen,sit
dies,dies
weniger,fewer
Kaffee,Coffee
ernst,ernst
wollt,www.
tragen,carry
Zeug,Things
trotzdem,despite it
Ihren,Your
kaufen,buy
Liste,List
ändern,change
Kampf,Battle
hasse,Hasse
Person,Person
Mund,Can
umbringen,kill
Präsident,president
Boden,Floor
Wohin,To where
machte,made
Party,Party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,take care of
kennt,knows
verletzt,injured
Habt,Have
Nachricht,News
Willkommen,Welcome
vielen,many
hart,hart
lasse,let
total,total
Gefängnis,Jail
außer,except
Sicherheit,Security
Schnell,Fast
wem,whom
ehrlich,ehrlich
interessiert,interested
Sex,Sex
sagten,said
ziehen,pull
Welche,Which
Unser,Our
Augenblick,Augenblick
angerufen,called
aufhören,stop
Klasse,Class
Bild,Picture
stark,stark
Dies,Dies
Eure,Your
zehn,ten
Sinn,To be
vorstellen,introduce
Traum,Dream
länger,longer
manchmal,sometimes
anrufen,call up
sechs,six
Arschloch,asshole
sollst,thorough
gestorben,died
Tages,Taken
war's,war's
verschwinden,disappear
Kraft,Kraft
gesprochen,spoken
heraus,out of here
genauso,just as
wärst,be
Eins,Likewise
damals,at that time
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,for this reason
Stelle,Job
halt,halt
erwartet,expected
solche,such
meisten,most
bringe,bring
still,still
umgebracht,killed
Stimme,Voice
General,General
Geben,Give
Entschuldige,Excuse
Vergiss,Forgetful
rede,network
führen,to lead
Bewegung,Movement
höre,listen
Sonst,Otherwise
Geschäft,Business
werdet,become
konnten,could
wartet,waiting
Raus,Out